UDI;Product ID;Type;Air temperature [K];Process temperature [K];Rotational speed [rpm]
1;M14860;M;298.1;308.6;1551
2;L47181;L;298.2;308.7;1408
3;L47182;L;298.1;308.5;1498
4;L47183;L;298.2;308.6;1433
5;L47184;L;298.2;308.7;1408
6;M14865;M;298.1;308.6;1425
7;L47186;L;298.1;308.6;1558
8;L47187;L;298.1;308.6;1527
9;M14868;M;298.3;308.7;1667
10;M14869;M;298.5;309;1741
11;H29424;H;298.4;308.9;1782
12;H29425;H;298.6;309.1;1423
13;M14872;M;298.6;309.1;1339
14;M14873;M;298.6;309.2;1742
15;L47194;L;298.6;309.2;2035
16;L47195;L;298.6;309.2;1542
17;M14876;M;298.6;309.2;1311
18;M14877;M;298.7;309.2;1410
19;H29432;H;298.8;309.2;1306
20;M14879;M;298.9;309.3;1632
21;H29434;H;298.9;309.3;1375
22;L47201;L;298.8;309.3;1450
23;M14882;M;298.9;309.3;1581
24;L47203;L;299.0;309.4;1758
25;M14884;M;299.0;309.4;1561
26;L47205;L;299.0;309.5;1861
27;L47206;L;299.1;309.5;1512
28;H29441;H;299.1;309.4;1811
29;L47208;L;299.1;309.4;1439
30;L47209;L;299.0;309.4;1693
31;M14890;M;299.1;309.5;1339
32;L47211;L;299.0;309.4;1798
33;L47212;L;299.0;309.4;1419
34;L47213;L;298.9;309.3;1665
35;M14894;M;298.8;309.1;1559
36;M14895;M;298.8;309.2;1452
37;M14896;M;298.9;309.2;1581
38;L47217;L;298.8;309.1;1439
39;H29452;H;298.9;309.2;1379
40;L47219;L;298.8;309.1;1350
41;L47220;L;298.8;309.1;1362
42;L47221;L;298.8;309.1;1368
43;M14902;M;298.8;309.1;1368
44;H29457;H;298.8;309.2;1372
45;M14904;M;298.8;309.1;1472
46;L47225;L;298.8;309.1;1489
47;M14906;M;298.7;309;1843
48;L47227;L;298.8;309.1;1418
49;H29462;H;298.8;309.2;1425
50;M14909;M;298.9;309.2;1412
51;L47230;L;298.9;309.1;2861
52;L47231;L;298.9;309.1;1383
53;H29466;H;298.8;309;1497
54;L47233;L;298.7;309;1565
55;L47234;L;298.7;309;1691
56;L47235;L;298.8;309.1;1512
57;L47236;L;298.8;309.1;1477
58;L47237;L;298.8;309.1;1513
59;M14918;M;298.8;309;1661
60;L47239;L;298.8;309.1;1378
61;L47240;L;298.8;309.1;1393
62;M14921;M;298.8;309;1592
63;L47242;L;298.8;309;1829
64;M14923;M;298.9;309;1812
65;L47244;L;299.0;309.1;1523
66;L47245;L;299.0;309.1;1394
67;M14926;M;298.9;308.9;1679
68;H29481;H;298.8;308.9;1466
69;L47248;L;298.8;308.9;1527
70;L47249;L;298.9;309;1410
71;M14930;M;298.9;309;1924
72;L47251;L;298.9;309.1;1452
73;L47252;L;298.9;309.1;1369
74;L47253;L;299.0;309.1;1592
75;L47254;L;298.9;309;1601
76;L47255;L;298.8;308.9;1379
77;L47256;L;298.8;308.9;1461
78;L47257;L;298.8;308.9;1455
79;L47258;L;298.8;308.9;1398
80;L47259;L;298.8;308.9;1402
81;H29494;H;298.8;308.8;1445
82;L47261;L;298.9;308.9;1450
83;L47262;L;298.9;308.9;1453
84;L47263;L;299.0;309;1469
85;L47264;L;298.9;308.9;1422
86;M14945;M;299.0;309;1804
87;H29500;H;299.0;309;1436
88;L47267;L;299.0;309;1544
89;M14948;M;299.0;309;1419
90;M14949;M;298.9;308.9;1487
