Kingdom,DNAtype,SpeciesID,Ncodons,SpeciesName,,,,,,,
vrl,0,100217,1995,Epizootic haematopoietic necrosis virus,,,,,,,
vrl,0,100220,1474,Bohle iridovirus,,,,,,,
vrl,0,100755,4862,Sweet potato leaf curl virus,,,,,,,
vrl,0,100880,1915,Northern cereal mosaic virus,,,,,,,
vrl,0,100887,22831,Soil-borne cereal mosaic virus,,,,,,,
vrl,0,101029,5274,Human adenovirus type 7d,,,,,,,
vrl,0,101688,3042,Apple latent spherical virus,,,,,,,
vrl,0,101764,2801,Aconitum latent virus,,,,,,,
vrl,0,101947,2897,Pseudorabies virus Ea,,,,,,,
vrl,0,10249,61247,Vaccinia virus Copenhagen,,,,,,,
vrl,0,10253,55330,Vaccinia virus Tian Tan,,,,,,,
vrl,0,10254,57854,Vaccinia virus WR,,,,,,,
vrl,0,10255,2720728,Variola virus,,,,,,,
vrl,0,10256,3893,Raccoonpox virus,,,,,,,
vrl,0,10263,185179,Fowlpox virus,,,,,,,
vrl,0,10266,3753,Sheeppox virus,,,,,,,
vrl,0,10272,53090,Rabbit fibroma virus,,,,,,,
vrl,0,10279,5184,Molluscum contagiosum virus,,,,,,,
vrl,0,10280,65731,Molluscum contagiosum virus subtype 1,,,,,,,
vrl,0,10288,2143,Choristoneura biennis entomopoxvirus 'L',,,,,,,
vrl,0,10290,4052,Heliothis armigera entomopoxvirus 'L',,,,,,,
vrl,0,10295,12745,Bovine herpesvirus 2,,,,,,,
vrl,0,10298,355849,Human herpesvirus 1,,,,,,,
vrl,0,10316,100770,Human herpesvirus 2,,,,,,,
vrl,0,10317,46031,Cercopithecine herpesvirus 2,,,,,,,
vrl,0,10320,59680,Bovine herpesvirus 1,,,,,,,
vrl,0,10326,136427,Equid herpesvirus 1,,,,,,,
vrl,0,10331,55662,Equid herpesvirus 4,,,,,,,
vrl,0,10334,15119,Felid herpesvirus 1,,,,,,,
vrl,0,10340,808202,Human herpesvirus 3,,,,,,,
vrl,0,10353,6670,Saimiriine herpesvirus 1,,,,,,,
vrl,0,103603,3431,Snakehead rhabdovirus,,,,,,,
vrl,0,10366,65117,Murid herpesvirus 1,,,,,,,
vrl,0,10370,120733,Human herpesvirus 6,,,,,,,
vrl,0,103722,2649,Grapevine fleck virus,,,,,,,
vrl,0,10373,1802,Macaca mulatta cytomegalovirus,,,,,,,
vrl,0,103782,1467,Pariacato virus,,,,,,,
vrl,0,103881,4953,Potato yellow vein virus,,,,,,,
vrl,0,103898,1146,Avian erythroblastosis virus,,,,,,,
vrl,0,103901,29043,Barley mild mosaic virus,,,,,,,
vrl,0,103908,2185,Echovirus 1,,,,,,,
vrl,0,103915,4398,Echovirus 9,,,,,,,
vrl,0,103919,14094,Feline leukemia virus,,,,,,,
vrl,0,10392,371665,Gallid herpesvirus 2,,,,,,,
vrl,0,103920,6155,Guinea pig cytomegalovirus,,,,,,,
vrl,0,103922,52644,Human enterovirus 71,,,,,,,
vrl,0,103926,3099,Peanut mottle virus,,,,,,,
vrl,0,103930,66850,Rhesus cytomegalovirus strain 68-1,,,,,,,
vrl,0,103931,40532,Soybean mosaic virus,,,,,,,
vrl,0,10397,66933,Tupaiid herpesvirus 1,,,,,,,
vrl,0,10398,76014,Ovine herpesvirus 2,,,,,,,
vrl,0,10401,38096,Ictalurid herpesvirus 1,,,,,,,
vrl,0,10406,1522,Ground squirrel hepatitis virus,,,,,,,
vrl,0,10408,2332,Hepatitis B virus subtype ADW2,,,,,,,
vrl,0,104263,4945,Hop latent virus,,,,,,,
vrl,0,10449,54693,Lymantria dispar MNPV,,,,,,,
vrl,0,10450,14766,Orgyia pseudotsugata single capsid nuclopolyhedrovirus,,,,,,,
vrl,0,10454,42061,Spodoptera exigua MNPV,,,,,,,
vrl,0,10455,43395,Spodoptera frugiperda MNPV,,,,,,,
vrl,0,10456,9367,Spodoptera littoralis NPV,,,,,,,
vrl,0,104580,6317,Kadipiro virus,,,,,,,
vrl,0,104581,5873,St Croix River virus,,,,,,,
vrl,0,10462,3361,Trichoplusia ni granulovirus,,,,,,,
vrl,0,10464,41133,Agrotis segetum granulovirus,,,,,,,
vrl,0,104664,4458,Indian citrus ringspot virus,,,,,,,
vrl,0,10468,53984,Helicoverpa zea SNPV,,,,,,,
vrl,0,10484,8387,Campoletis sonorensis ichnovirus,,,,,,,
vrl,0,10490,1333,Tipula iridescent virus,,,,,,,
vrl,0,10493,32083,Frog virus 3,,,,,,,
vrl,0,10506,142549,Paramecium bursaria Chlorella virus 1,,,,,,,
vrl,0,10507,29246,Chlorella virus,,,,,,,
vrl,0,10510,15433,Bovine adenovirus 3,,,,,,,
vrl,0,10515,34165,Human adenovirus 2,,,,,,,
vrl,0,10519,68179,Human adenovirus type 7,,,,,,,
vrl,0,10521,14698,Human adenovirus type 14,,,,,,,
vrl,0,10522,25446,Human adenovirus type 35,,,,,,,
vrl,0,10524,10570,Human adenovirus type 41,,,,,,,
